gene,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15
3_57256,8,1,2,3,1,0,1,1,1,0,0,1,0,4,1
27_51797,7,3,9,7,8,0,9,15,12,19,1,4,12,13,7
11_10379,7,12,20,15,26,0,14,17,16,19,1,5,7,1,5
30_59859,7,18,9,14,15,0,21,24,18,15,3,11,19,13,4
8_77873,7,28,16,40,32,0,36,32,40,26,14,16,8,31,4
4_60924,7,22,32,24,10,0,22,31,13,18,0,9,19,12,4
eca-miR-342-5p,7,9,7,7,5,0,8,6,27,6,3,9,5,11,3
27_51921,7,11,11,7,6,0,5,4,3,8,2,1,4,3,1
6_70095,6,6,8,2,10,0,5,10,23,10,13,41,16,37,89
X_82258,6,6,12,2,13,0,16,8,52,5,4,15,7,28,35
eca-miR-338-5p,6,2,2,3,7,0,3,3,32,4,2,16,4,16,24
eca-miR-129a-3p,6,4,5,2,1,0,2,3,10,3,0,3,6,7,12
eca-miR-671-3p,6,12,14,8,5,0,4,17,17,10,3,9,10,13,9
eca-miR-345-3p,6,11,8,9,11,0,13,12,21,14,1,18,11,23,8
11_9652,6,16,27,15,10,0,23,38,24,19,5,11,13,21,7
eca-miR-330,6,19,16,24,5,0,17,17,33,8,3,7,11,11,7
11_12180,6,1,3,0,22,0,1,5,20,1,1,10,6,58,7
14_20561,6,13,20,11,4,0,7,12,14,7,4,1,13,7,5
31_60515,6,10,29,24,14,0,21,38,18,30,11,12,19,18,5
eca-miR-362-5p,6,9,13,8,4,0,12,11,16,8,6,8,8,14,4
eca-miR-379,6,20,29,11,11,0,0,1,0,0,6,9,15,3,3
eca-miR-182,6,3,5,6,3,0,5,3,10,1,0,6,2,6,2
eca-miR-491-5p,6,13,8,12,8,0,9,6,7,6,9,5,3,9,1
Un0592_85201,5,7,9,3,0,0,2,0,2,4,0,3,7,5,5
eca-miR-340-3p,5,9,17,18,5,0,25,17,39,18,2,19,9,16,5
1_6139,5,10,9,6,5,0,2,1,3,1,0,0,2,3,4
20_39199,5,6,17,10,15,0,13,11,11,9,3,6,6,6,3
5_66207,5,2,12,4,4,0,7,6,6,8,1,3,6,4,3
5_66771,5,2,12,4,4,0,7,6,6,8,1,3,6,4,3
5_66773,5,2,12,4,4,0,7,6,6,8,1,3,6,4,3
19_32233,5,6,13,9,5,0,9,8,10,9,1,8,7,8,3
11_11592,5,1,3,2,1,0,0,2,1,0,0,0,0,0,1
eca-miR-495,5,0,2,6,2,0,0,1,1,1,0,1,1,1,0
eca-miR-99b,4,1,3,1,4,0,3,2,11,5,5,24,5,24,28
1_452,4,5,21,11,6,0,12,16,24,20,4,4,15,11,24
eca-miR-345-5p,4,4,9,9,15,0,10,14,39,7,8,9,6,26,13
5_67786,4,16,31,17,10,0,31,35,22,25,0,11,24,5,11
13_19164,4,7,11,12,3,0,8,7,7,2,0,4,8,6,6
13_19165,4,4,8,11,3,0,7,5,6,1,0,4,5,5,6
eca-miR-125b-5p,4,2,9,0,4,0,1,2,0,3,0,0,5,0,5
4_62252,4,12,17,12,1,0,8,7,8,5,3,0,2,5,5
14_21641,4,5,14,10,16,0,19,18,12,16,5,9,14,5,4
1_5814,4,8,3,4,4,0,7,5,10,6,5,5,2,10,4
Un0050_86370,4,8,3,4,4,0,7,5,10,6,5,5,2,10,4
11_13941,4,5,3,5,1,0,8,6,9,7,6,2,4,2,3
eca-miR-411,4,8,14,15,2,0,1,0,1,0,1,3,6,5,3
20_39550,4,14,13,3,0,0,2,2,3,5,2,3,7,1,3
Un0002_87104,4,6,10,9,9,0,3,2,6,4,2,7,4,5,2
2_33996,4,11,9,2,4,0,1,3,3,2,3,1,7,4,2
3_57737,4,8,13,13,6,0,7,2,4,4,0,0,5,2,1
20_39551,4,13,12,3,0,0,3,2,3,5,2,2,7,1,1
7_73562,4,2,0,0,0,0,1,0,1,0,0,0,0,0,0
6_70254,4,1,3,2,0,0,2,3,1,0,0,0,1,1,0
eca-miR-590-5p,4,5,8,6,0,0,3,2,9,1,0,2,5,3,0
eca-miR-143,3,4,1,11,60,0,2,4,7,4,0,7,5,19,149
20_38845,3,2,3,1,4,0,4,4,77,13,0,10,4,44,139
1_5531,3,5,11,9,25,0,29,13,127,17,8,23,7,56,47
11_10482,3,7,6,2,49,0,8,2,36,12,0,15,3,30,36
11_10488,3,7,6,2,49,0,8,2,36,12,0,15,3,30,36
11_12557,3,7,6,2,49,0,8,2,36,12,0,15,3,30,36
11_12571,3,7,6,2,49,0,8,2,36,12,0,15,3,30,36
eca-miR-873,3,9,28,17,12,0,46,65,37,30,23,39,55,49,34
14_21092,3,1,4,5,3,0,5,5,29,7,8,13,4,10,14
Un0116_85696,3,2,3,0,1,0,4,2,9,2,1,2,0,10,9
eca-miR-199b-5p,3,10,14,4,4,0,16,6,25,6,1,6,2,12,8
5_67342,3,9,23,18,15,0,20,16,31,12,2,12,7,12,6
20_39591,3,5,11,4,6,0,6,10,4,8,0,18,10,12,4
1_2111,3,4,8,6,15,0,19,10,9,4,4,9,2,3,3
Un0019_86643,3,2,4,4,3,0,4,4,2,0,2,1,3,1,3
5_66388,3,4,8,3,4,0,4,3,8,4,0,3,2,4,3
1_5815,3,8,2,4,4,0,7,4,9,5,5,3,2,10,3
Un0050_86371,3,8,2,4,4,0,7,4,9,5,5,3,2,10,3
15_22827,3,8,7,5,4,0,3,9,19,6,3,14,6,8,3
19_33384,3,7,26,16,7,0,15,11,10,15,1,3,5,2,3
6_70008,3,4,2,2,3,0,3,8,2,1,0,2,3,3,3
eca-miR-450c,3,3,2,6,1,0,7,5,18,3,1,2,1,4,3
9_81178,3,3,2,1,0,0,3,0,3,2,0,0,2,2,2
eca-miR-409-3p,3,8,10,5,4,0,0,0,0,0,0,2,1,2,2
2_37539,3,4,3,5,3,0,2,2,3,3,0,1,2,3,2
20_40000,3,6,8,10,7,0,3,2,3,10,0,6,4,4,2
4_63532,3,2,1,0,2,0,0,4,3,4,0,2,1,3,2
eca-miR-500,3,3,4,2,1,0,6,1,7,0,0,1,0,10,2
11_12456,3,4,13,5,8,0,5,6,4,6,2,3,0,1,1
10_7195,3,5,8,2,2,0,1,3,0,1,0,2,2,1,1
2_35088,3,10,7,10,6,0,3,1,1,1,2,5,6,2,1
8_76756,3,0,1,5,2,0,0,1,1,1,0,0,2,0,1
5_64548,3,4,5,4,0,0,0,1,0,0,0,1,0,1,1
2_36866,3,4,5,3,3,0,5,2,4,1,0,5,7,4,0
18_31552,3,0,0,0,0,0,0,0,5,0,3,0,0,1,0
19_33438,3,0,3,1,2,0,1,4,1,1,1,0,0,0,0
9_79538,3,3,5,1,3,0,7,7,8,2,0,0,0,1,0
20_39622,3,7,1,1,0,0,0,0,0,1,0,0,0,1,0
10_9108,3,4,5,5,0,0,2,2,2,3,0,0,1,2,0
8_76099,3,2,6,6,2,0,4,2,2,8,3,1,3,7,0
eca-miR-299,3,2,4,4,1,0,0,0,0,1,0,0,2,0,0
30_60026,2,5,3,11,2,0,7,3,7,5,4,7,1,17,11
Un0116_85695,2,1,4,1,4,0,2,2,19,3,3,3,2,5,10
eca-miR-130b,2,8,12,8,7,0,5,6,5,5,0,4,2,2,4
5_67415,2,1,9,6,1,0,3,3,4,4,8,2,5,6,4
X_82892,2,1,2,3,2,0,7,7,19,9,0,5,0,11,4
eca-miR-34a,2,3,3,6,2,0,1,4,1,0,0,0,4,7,4
eca-miR-501-5p,2,6,2,1,1,0,3,1,3,1,2,0,6,6,4
eca-miR-200c,2,2,0,2,0,0,5,1,9,1,0,3,2,3,4
